seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,partner_final_energy,partner_peak_energy,self_final_energy,joint_homeostatic_margin,task,metabolic_load
54,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
54,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
54,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
54,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
54,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
55,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
55,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
55,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
55,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
55,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
55,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
55,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
55,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
55,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
55,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
55,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
55,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
56,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
56,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
56,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
56,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
56,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
56,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
56,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
56,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
56,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
56,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
56,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
56,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
57,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
57,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
57,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
57,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
57,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
57,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
57,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
57,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
57,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
57,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
57,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
57,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
58,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
58,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
58,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
58,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
58,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
58,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
58,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
58,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
58,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
58,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
58,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
58,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
59,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
59,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
59,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
59,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
59,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
59,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
59,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
59,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
59,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
59,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
59,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
59,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
60,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
60,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
60,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
60,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
60,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
60,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
60,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
60,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
60,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
60,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
60,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
60,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
61,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
61,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
61,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
61,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
61,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
61,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
61,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
61,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
61,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
61,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
61,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
61,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
62,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
62,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
62,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
62,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
62,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
62,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
62,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
62,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
62,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
62,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
62,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
62,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
63,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
63,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287,foodshare,low
63,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
63,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
63,social_affective_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
63,social_full_direct,FoodShareToy,shuffle_partner,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714,foodshare,low
63,social_affective_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
63,social_full_direct,SocialCorridorWorld,sham,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379,corridor,low
63,social_affective_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
63,social_full_direct,SocialCorridorWorld,coupling_off,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
63,social_affective_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
63,social_full_direct,SocialCorridorWorld,shuffle_partner,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809,corridor,low
